data;valor
12/23/2019;103.51
12/20/2019;103.58
12/19/2019;103.16
12/18/2019;98.62
12/17/2019;96.80
12/16/2019;97.29
12/13/2019;100.77
12/12/2019;101.23
12/11/2019;108.38
12/10/2019;113.99
12/09/2019;116.47
12/06/2019;117.42
12/05/2019;120.63
12/04/2019;122.18
12/03/2019;124.92
12/02/2019;124.88
11/29/2019;124.14
11/28/2019;123.59
11/27/2019;123.59
11/26/2019;123.36
11/25/2019;123.97
11/22/2019;124.06
11/21/2019;126.63
11/20/2019;127.86
11/19/2019;126.33
11/18/2019;123.73
11/15/2019;121.53
11/14/2019;121.45
11/13/2019;120.63
11/12/2019;120.18
11/11/2019;117.18
11/08/2019;117.18
11/07/2019;115.76
11/06/2019;118.61
11/05/2019;115.25
11/04/2019;114.94
11/01/2019;116.67
10/31/2019;121.31
10/30/2019;118.03
10/29/2019;117.14
10/28/2019;117.15
10/25/2019;118.71
10/24/2019;121.54
10/23/2019;123.49
10/22/2019;126.50
10/21/2019;127.45
10/18/2019;128.81
10/17/2019;129.69
10/16/2019;131.31
10/15/2019;130.93
10/14/2019;133.37
10/11/2019;133.37
10/10/2019;137.13
10/09/2019;139.80
10/08/2019;142.43
10/07/2019;139.21
10/04/2019;137.20
10/03/2019;137.11
10/02/2019;138.74
10/01/2019;136.22
09/30/2019;136.23
09/27/2019;137.19
09/26/2019;136.52
09/25/2019;137.09
09/24/2019;137.11
09/23/2019;130.60
09/20/2019;130.44
09/19/2019;118.04
09/18/2019;119.58
09/17/2019;119.63
09/16/2019;121.57
09/13/2019;123.07
09/12/2019;123.07
09/11/2019;123.90
09/10/2019;122.61
09/09/2019;123.57
09/06/2019;123.49
09/05/2019;125.70
09/04/2019;126.51
09/03/2019;131.74
09/02/2019;133.67
08/30/2019;133.68
08/29/2019;138.16
08/28/2019;139.53
08/27/2019;140.33
08/26/2019;141.03
08/23/2019;136.78
08/22/2019;135.52
08/21/2019;136.50
08/20/2019;138.81
08/19/2019;138.41
08/16/2019;137.47
08/15/2019;140.05
08/14/2019;141.29
08/13/2019;132.54
08/12/2019;136.50
08/09/2019;130.06
08/08/2019;129.46
08/07/2019;138.54
08/06/2019;137.49
08/05/2019;142.45
08/02/2019;132.22
08/01/2019;126.98
07/31/2019;126.20
07/30/2019;125.47
07/29/2019;124.07
07/26/2019;123.16
07/25/2019;124.30
07/24/2019;125.29
07/23/2019;126.67
07/22/2019;127.31
07/19/2019;127.70
07/18/2019;127.98
07/17/2019;128.91
07/16/2019;128.56
07/15/2019;127.35
07/12/2019;127.75
07/11/2019;129.36
07/10/2019;130.24
07/09/2019;135.40
07/08/2019;143.10
07/05/2019;144.69
07/04/2019;146.09
07/03/2019;146.09
07/02/2019;146.35
07/01/2019;146.12
06/28/2019;149.18
06/27/2019;149.35
06/26/2019;151.88
06/25/2019;151.09
06/24/2019;150.34
06/21/2019;148.97
06/20/2019;147.64
06/19/2019;153.66
06/18/2019;157.15
06/17/2019;164.13
06/14/2019;164.14
06/13/2019;162.26
06/12/2019;164.13
06/11/2019;166.12
06/10/2019;167.28
06/07/2019;167.98
06/06/2019;171.98
06/05/2019;172.97
06/04/2019;170.74
06/03/2019;177.61
05/31/2019;178.18
05/30/2019;177.72
05/29/2019;178.81
05/28/2019;178.95
05/27/2019;178.21
05/24/2019;178.20
05/23/2019;179.36
05/22/2019;176.40
05/21/2019;176.09
05/20/2019;182.35
05/17/2019;183.95
05/16/2019;179.41
05/15/2019;171.94
05/14/2019;174.52
05/13/2019;174.75
