data_coleta,variavel,mediana
2025-12-31,IPCA_12m,3.8941
2025-12-31,IPCA_12m,3.9503
2026-01-02,IPCA_12m,3.8911
2026-01-02,IPCA_12m,3.9476
2026-01-05,IPCA_12m,3.9171
2026-01-05,IPCA_12m,3.9906
2026-01-06,IPCA_12m,3.8911
2026-01-06,IPCA_12m,3.9806
2026-01-07,IPCA_12m,3.8294
2026-01-07,IPCA_12m,3.9779
2026-01-08,IPCA_12m,3.8755
2026-01-08,IPCA_12m,3.9902
2026-01-09,IPCA_12m,4.0
2026-01-09,IPCA_12m,4.0042
2026-01-12,IPCA_12m,4.0006
2026-01-12,IPCA_12m,4.0168
2026-01-13,IPCA_12m,3.9904
2026-01-13,IPCA_12m,4.0093
2026-01-14,IPCA_12m,4.0
2026-01-14,IPCA_12m,4.0214
2026-01-15,IPCA_12m,4.0
2026-01-15,IPCA_12m,4.0172
2026-01-16,IPCA_12m,4.0163
2026-01-16,IPCA_12m,4.041
2026-01-19,IPCA_12m,3.99
2026-01-19,IPCA_12m,4.0327
2026-01-20,IPCA_12m,4.0
2026-01-20,IPCA_12m,4.0292
2026-01-21,IPCA_12m,3.995
2026-01-21,IPCA_12m,4.0251
2026-01-22,IPCA_12m,3.98
2026-01-22,IPCA_12m,4.0202
2026-01-23,IPCA_12m,3.9849
2026-01-23,IPCA_12m,3.9837
2026-01-26,IPCA_12m,3.9906
2026-01-26,IPCA_12m,3.9899
2026-01-27,IPCA_12m,3.9953
2026-01-27,IPCA_12m,4.0182
2026-01-28,IPCA_12m,3.9903
2026-01-28,IPCA_12m,4.0126
2026-01-29,IPCA_12m,3.9906
2026-01-29,IPCA_12m,4.0183
2026-01-30,IPCA_12m,3.9076
2026-01-30,IPCA_12m,3.9471
2026-02-02,IPCA_12m,3.9175
2026-02-02,IPCA_12m,3.95
2026-02-03,IPCA_12m,3.9026
2026-02-03,IPCA_12m,3.9491
2026-02-04,IPCA_12m,3.9318
2026-02-04,IPCA_12m,3.9515
2026-02-05,IPCA_12m,3.9363
2026-02-05,IPCA_12m,3.9538
2026-02-06,IPCA_12m,3.9534
2026-02-06,IPCA_12m,3.9761
2026-02-09,IPCA_12m,3.9441
2026-02-09,IPCA_12m,3.9494
2026-02-10,IPCA_12m,3.9494
2026-02-10,IPCA_12m,3.9505
2026-02-11,IPCA_12m,3.9379
2026-02-11,IPCA_12m,3.9399
2026-02-12,IPCA_12m,3.9312
2026-02-12,IPCA_12m,3.9372
2026-02-13,IPCA_12m,3.9298
2026-02-13,IPCA_12m,3.9326
2025-02-19,IPCA_corrente,4.1879
2025-02-20,IPCA_corrente,4.2295
2025-02-21,IPCA_corrente,4.3637
2025-02-24,IPCA_corrente,4.3844
2025-02-25,IPCA_corrente,4.3005
2025-02-26,IPCA_corrente,4.3844
2025-02-27,IPCA_corrente,4.3922
2025-02-28,IPCA_corrente,4.4
2025-03-05,IPCA_corrente,4.3005
2025-03-06,IPCA_corrente,4.4
2025-03-07,IPCA_corrente,4.2447
2025-03-10,IPCA_corrente,4.3009
2025-03-11,IPCA_corrente,4.3922
2025-03-12,IPCA_corrente,4.45
2025-03-13,IPCA_corrente,4.405
2025-03-14,IPCA_corrente,4.4989
2025-03-17,IPCA_corrente,4.4992
2025-03-18,IPCA_corrente,4.4996
2025-03-19,IPCA_corrente,4.4991
2025-03-20,IPCA_corrente,4.5
2025-03-21,IPCA_corrente,4.5
2025-03-24,IPCA_corrente,4.5
2025-03-25,IPCA_corrente,4.5
2025-03-26,IPCA_corrente,4.5
2025-03-27,IPCA_corrente,4.502
2025-03-28,IPCA_corrente,4.5
2025-03-31,IPCA_corrente,4.5
2025-04-01,IPCA_corrente,4.5
2025-04-02,IPCA_corrente,4.5
2025-04-03,IPCA_corrente,4.4979
2025-04-04,IPCA_corrente,4.42
2025-04-07,IPCA_corrente,4.4
2025-04-08,IPCA_corrente,4.4841
2025-04-09,IPCA_corrente,4.4781
2025-04-10,IPCA_corrente,4.4841
2025-04-11,IPCA_corrente,4.5
2025-04-14,IPCA_corrente,4.5101
2025-04-15,IPCA_corrente,4.5039
2025-04-16,IPCA_corrente,4.5936
2025-04-17,IPCA_corrente,4.5413
2025-04-22,IPCA_corrente,4.5
2025-04-23,IPCA_corrente,4.5
2025-04-24,IPCA_corrente,4.5
2025-04-25,IPCA_corrente,4.5
2025-04-28,IPCA_corrente,4.4682
2025-04-29,IPCA_corrente,4.4993
2025-04-30,IPCA_corrente,4.5
2025-05-02,IPCA_corrente,4.5197
2025-05-05,IPCA_corrente,4.53
2025-05-06,IPCA_corrente,4.53
2025-05-07,IPCA_corrente,4.5402
2025-05-08,IPCA_corrente,4.5252
2025-05-09,IPCA_corrente,4.5
2025-05-12,IPCA_corrente,4.4842
2025-05-13,IPCA_corrente,4.4649
2025-05-14,IPCA_corrente,4.4649
2025-05-15,IPCA_corrente,4.4649
2025-05-16,IPCA_corrente,4.5
2025-05-19,IPCA_corrente,4.5
2025-05-20,IPCA_corrente,4.5504
2025-05-21,IPCA_corrente,4.5
2025-05-22,IPCA_corrente,4.4997
2025-05-23,IPCA_corrente,4.52
